[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 825] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/system/searches?query=" [Client 172.17.0.1] [Length 3] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/system/settings" [Client 172.17.0.1] [Length 3215] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRBeW" [Client 172.17.0.1] [Length 107] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - POST http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRBf0&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/socket.io/?EIO=4&transport=polling&t=PcFRBf9&sid=L3aEd_VvccBgK4CFAAAA" [Client 172.17.0.1] [Length 32] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/badges" [Client 172.17.0.1] [Length 132] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/series?start=0&length=25" [Client 172.17.0.1] [Length 3837] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/series"
[28/Sep/2025:08:24:51 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/system/languages/profiles" [Client 172.17.0.1] [Length 260] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/series"
[28/Sep/2025:08:24:53 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/movies?start=0&length=25" [Client 172.17.0.1] [Length 13651] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies"
[28/Sep/2025:08:25:00 +0000] - 200 200 - GET http arr-bazarr.s4home.dpdns.org "/api/system/languages?history=false" [Client 172.17.0.1] [Length 2324] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://arr-bazarr.s4home.dpdns.org/movies/220"
