[28/Sep/2025:08:35:01 +0000] - 401 401 - GET https plex.shrishesha.duckdns.org "/" [Client 10.0.0.5] [Length 157] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:35:01 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/web/index.html" [Client 10.0.0.5] [Length 19568] [Gzip 1.55] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/web/translations/en.json" [Client 10.0.0.5] [Length 2] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 406 406 - GET https plex.shrishesha.duckdns.org "/media/providers?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 84] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 406 406 - GET https plex.shrishesha.duckdns.org "/?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 84] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/identity?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 178] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/media/providers?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Token=yB3hGyLnFZ9raws__12c&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 4211] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/status/sessions?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Token=yB3hGyLnFZ9raws__12c&X-Plex-Language=en" [Client 10.0.0.5] [Length 49] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/updater/status?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Token=yB3hGyLnFZ9raws__12c&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 129] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/:/prefs?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Token=yB3hGyLnFZ9raws__12c&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 7284] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
[28/Sep/2025:08:35:02 +0000] - 200 200 - GET https plex.shrishesha.duckdns.org "/activities?X-Plex-Product=Plex%20Web&X-Plex-Version=4.147.1&X-Plex-Client-Identifier=elei9st2nqattyegt1opzk1x&X-Plex-Platform=Safari&X-Plex-Platform-Version=26.1&X-Plex-Features=external-media%2Cindirect-media%2Chub-style-list&X-Plex-Model=bundled&X-Plex-Device=OSX&X-Plex-Device-Name=Safari&X-Plex-Device-Screen-Resolution=1710x982%2C1710x1112&X-Plex-Token=yB3hGyLnFZ9raws__12c&X-Plex-Language=en&X-Plex-Session-Id=65a927d3-86c0-4e86-8db3-5eadb07defd9" [Client 10.0.0.5] [Length 49] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://plex.shrishesha.duckdns.org/web/index.html"
