[28/Sep/2025:08:07:06 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:07:09 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:07:53 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:07:53 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:07:54 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:07:55 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:12:14 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:12:14 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:13:08 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:13:08 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:16:18 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:16:19 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
[28/Sep/2025:08:20:15 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 2234] [Gzip 3.21] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:20:15 +0000] - 200 200 - GET http dash.s4home.dpdns.org "/api/pages/home/content/" [Client 172.17.0.1] [Length 18408] [Gzip 6.84] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://dash.s4home.dpdns.org/"
