[28/Sep/2025:08:16:20 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 640] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:16:20 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/site.webmanifest" [Client 172.17.0.1] [Length 209] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:21 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/status" [Client 172.17.0.1] [Length 91] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:21 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/status" [Client 172.17.0.1] [Length 91] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:21 +0000] - 404 404 - GET http casaos.s4home.dpdns.org "/v1/users/image?path=/var/lib/casaos/1/avatar.png" [Client 10.0.0.2] [Length 85] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:27 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/" [Client 172.17.0.1] [Length 640] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:16:27 +0000] - 101 101 - GET http casaos.s4home.dpdns.org "/v2/message_bus/socket.io/?EIO=3&transport=websocket" [Client 172.17.0.1] [Length 1702] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "-"
[28/Sep/2025:08:16:27 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/status" [Client 172.17.0.1] [Length 91] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:27 +0000] - 404 404 - GET http casaos.s4home.dpdns.org "/v1/users/image?path=/var/lib/casaos/1/avatar.png" [Client 10.0.0.2] [Length 85] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:29 +0000] - 200 200 - POST http casaos.s4home.dpdns.org "/v1/users/login" [Client 172.17.0.1] [Length 555] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:29 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/sys/version" [Client 172.17.0.1] [Length 362] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:29 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/status" [Client 172.17.0.1] [Length 91] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:30 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/current/custom/wallpaper" [Client 172.17.0.1] [Length 64] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:30 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/sys/utilization" [Client 172.17.0.1] [Length 377] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
[28/Sep/2025:08:16:30 +0000] - 200 200 - GET http casaos.s4home.dpdns.org "/v1/users/current/custom/system" [Client 172.17.0.1] [Length 162] [Gzip -] [Sent-to 10.0.0.10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15" "https://casaos.s4home.dpdns.org/"
